Id,Name*,Description,Flavour*,Comments,StatsText,Size, Level, Slot, price,Empire,Federation,Trading Guild,Pirates,Neutral,Void,Ancient Miners,In Game,AI Only,
DecoyItem,Decoy,"Deploys a decoy, drawing enemy fire until destroyed.","It was him. Let's get 'im, fellas!",https://www.youtube.com/watch?v=HC-FFCbd3_k,,Small,2,"Utility, Consumable",400,No,Yes,Yes,Yes,No,,,,,
TauntItem,Taunt,,,Does not  work,"\nCooldown: #color{255,255,0}0.17#dcolor{} Sec\nRange:3000",Small,4,Utility,1000,,,,,,,,,,
EnergyBolaGun,Entangling Energy Gun,Launches an energy bola which stops a ship's engines.,,,"\nEnergy Consumption: #color{255,255,0}60#dcolor{}\nCooldown: #color{255,255,0}5.83#dcolor{} Sec\nRange:5000",Small,4,"Weapon, Turret",200,No,No,Yes,Yes,No,,,,,
Railgun,Railgun,Fires a long-range fast shell which pierces all targets. Has a small delay before launching.,,,"Damage: #color{255,0,0}200#dcolor{}\nEnergy Consumption: #color{255,255,0}300#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nDPS: #color{255,0,0}200#dcolor{}\nRange:3000",Small,4,"Weapon, Turret",3036,No,Yes,No,No,No,,,,,
BoomerangGun,Boomerang Gun,Shoots out boomerangs that attempt to return to the ship.,The unique tech that allows the boomerangs to return to the ship without causing it damage was developed by the space Australians.,,"#color{255,255,0}Ammo Type Weapon#dcolor{}\n\n\nCooldown: #color{255,255,0}0.5#dcolor{} Sec\nAmmo Type: #color{255,255,0}Boomerang#dcolor{}",Small,4,"Weapon, Turret",1518,No,No,No,Yes,No,,,,,
DevastationCoreDetonator,Devastation Core Detonator,"Ignites a devastation core, emitting a long-range enormous ring of fire around the ship.",,,,Small,4,"Weapon, Turret",10000,No,No,No,No,No,,Yes,,,
SniperGun,Sniper Gun,Fires a long-range accurate shot.,,,"Damage: #color{255,0,0}300#dcolor{}\nEnergy Consumption: #color{255,255,0}240#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nDPS: #color{255,0,0}300#dcolor{}\nRange:3500",Small,3,"Weapon, Turret",2024,No,Yes,No,No,No,,,,,
StunGunItem,EMP Burst,"Emits EMP shockwave around the ship, stunning all ships nearby.",No electronic can stay fully functional after a powerful electro magnetic pulse.,,,Small,4,"Weapon, Turret",1518,No,No,Yes,No,No,,,,,
BoomerangAmmoItem,Boomerang,Ammo for the Boomerang Gun.,,,,Small,1,Ammo,50,No,No,No,Yes,No,,,,,
DevastationCore,Devastation Core,Ammo for the Devastation Core Detonator.,,,,Large,3,Ammo,150,No,No,No,No,No,,Yes,,,
AoeRepairKit1,Area Repair Kit,Repairs all ships in a small area around for a short amount of time.,,,Restores: 0 None,Small,11,Consumable,600,No,No,Yes,No,No,,,,,
AsteroidPullMine,Asteroid Vac Mine,"Releases a mine that explodes a short delay, creating a field that only pulls in asteroids for the duration of the effect.",Miners recommend flinging these with momentum for best results.,,,Small,2,"Ammo, Consumable",675,No,No,No,No,Yes,,,,,
EmpRecoveryKit1,EMP Recovery Kit,Immediately recovers from an EMP stun. Kit is consumed after use.,,,Restores: 0 StunTime,Small,4,Consumable,1200,No,No,Yes,No,No,,,,,
EnergyKit1,Energy Kit I,Immediately restores energy.,,,Restores: 2000 Energy,Small,2,Consumable,100,No,No,No,No,Yes,,,,,
HomeBeaconKit,Home Beacon Kit,Warps back to the mothership. Kit is consumed after use.,,,,Small,1,Consumable,300,No,No,No,No,Yes,,,,,
RepairKit1,Repair Kit I,Restores hitpoints on use.,,,Restores: 300 Hitpoints,Small,1,Consumable,100,No,No,No,No,Yes,,,,,
CargoEmitter,Cargo Emitter,Launches materials out of the ship in a stack. Does not launch equipment.,,Does not work,,Small,1,Utility,350,No,No,No,No,Yes,,,,Yes,
FlollowEngine,Follow System,Can push the ship in any direction.,,,,Small,9,Turret,350,No,No,No,No,No,,,,Yes,
HomeBeacon,Home Beacon,Warps back to the mothership. Reusable.,,,,Small,2,Utility,3000,No,No,No,No,Yes,,,,,
TurretEngine1,Ether Omnidirectional Engine,Moves ship in any direction based on the cursor.,This experimental engine uses advanced ether physics to instantly switch direction and maintain a steady velocity.,In Game???,,Small,9,Turret,350,No,No,No,No,No,,,No,Yes,
DeployableTurretItem,Deployable Turret,Deploys a turret which automatically shoots nearby enemies.,Make sure to pick them up after if you can.,,,Small,2,"Utility, Consumable",400,No,No,No,No,Yes,,,,,
PickerUpperDroneItem,Emergency Salvage Drone,Collect all equipment dropped upon ship destruction and returns them to the mothership.,"If the ship is about to be destroyed, deploying a salvage drone might be the only way of ever retrieving some of the ship's equipment.",Rework needed,,Small,3,"Utility, Consumable",1012,No,No,No,No,Yes,,,,,
RepairDroneLauncherItem,Repair Drone,"Upon your ship's destruction, a drone is deployed which picks up all of your items. It then travels to the mothership to deposite them, otherwise it parks around it.",,,,Small,2,Utility,1518,No,Yes,No,No,No,,,,,
DevastationCoreFabItem,Devastation Core Fabricator,Creates devastation cores for devastation sharing.,,"AI Only, needs unique fabricator slot",,Small,4,Fabricator,350,No,No,No,No,No,,Yes,,Yes,
DockingBayItem,Docking Bay,Launches a basic fighter which attacks enemy ships.,,,,Small,5,Utility,5000,No,Yes,No,No,No,,,,,
GasHarvester,Gas Harvester,Harvests gas from nebulas.,,,,Small,5,Utility,5000,No,No,No,No,Yes,,,,,
LightBulb,Light Bulb,Lights up the area around the ship.,Mysterious ancient artifact that generates light by heating some sort of wire. Uses a very large wire.,,,Small,3,Consumable,150,No,No,No,No,Yes,,,,,
ShieldGenerator1,Shield Recharger,Recharges your shield quickly at the expense of energy.,"Sometimes the best defence is defence, even at the expense of offence.",Rework needed,,Small,3,Utility,1012,No,Yes,No,No,No,,,,,
EpicShotgunItem,Momentum Shotgun,Shoots a spread of projectiles which deal damage based to the impact speed with the target.,Run and gun.,,"Damage: #color{255,0,0}14#dcolor{}\nEnergy Consumption: #color{255,255,0}25#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nDPS: #color{255,0,0}14#dcolor{}\nRange:0",Small,8,"Weapon, Turret",7688,Yes,No,No,No,No,,,,,
EnergyNetLauncher,Energy Net Launcher,Shoots out slow moving clump of energy net particles. Creates a powerful slowing effect in an area around the point of impact.C52,"Energy nets were first developed to combat, capture and tame space worms.",,"\nEnergy Consumption: #color{255,255,0}100#dcolor{}\nCooldown: #color{255,255,0}60#dcolor{} Sec\nRange:0",Small,6,Utility,6834,No,No,Yes,Yes,No,,,,,
FlakGun,Impact Detonation Charges,"A quick firing rapid shot which explodes on impact, dealing damage in an area.",Similar to the flak cannons of ancient times.,,"Damage: #color{255,0,0}163#dcolor{}\nEnergy Consumption: #color{255,255,0}50#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nDPS: #color{255,0,0}489#dcolor{}\nRange:0",Small,6,"Weapon, Turret",1600,No,No,No,Yes,No,,,,,
RicochetGun,Ricochet Blasters,Shoots weak energy blasts that bounce off targets.,An untrained gunner with a ricochet weapon can do more harm than good.,,"Damage: #color{255,0,0}10#dcolor{}\nEnergy Consumption: #color{255,255,0}30#dcolor{}\nCooldown: #color{255,255,0}0.17#dcolor{} Sec\nDPS: #color{255,0,0}60#dcolor{}\nRange:0",Small,2,"Weapon, Turret",2000,No,No,No,Yes,No,,,,,
XionGun,Energy Blasters,Shoots powerful energy blasts which are especially strong against shields. Or should be.,,Need To Implement Bonus Against Shields,"Damage: #color{255,0,0}220#dcolor{}\nCooldown: #color{255,255,0}2.25#dcolor{} Sec\nDPS: #color{255,0,0}98#dcolor{}\nRange:0",Small,4,"Weapon, Turret",1518,No,No,Yes,No,No,,,,,
ActiveShield,Instant Burst Shield,Creates an impenetrable shield which blocks all projectiles for a short duration.,,,"\nCooldown: #color{255,255,0}10#dcolor{} Sec\nRange:0",Small,5,Utility,4556,No,No,Yes,Yes,No,,,,,
BeastBombLauncher,Space Worm Launcher,"Launches a package that explodes on impact, releasing several space worms.","The space worms were never domesticated, but they could still be captured and serve as an effective distraction.",,"\nCooldown: #color{255,255,0}30#dcolor{} Sec\nRange:0",Small,5,"Weapon, Turret",1600,No,No,Yes,Yes,No,,,,,
FireworksGun,Fireball,Launches fireballs at a distance.,Give the gift of warmth.,,"Damage: #color{255,0,0}201#dcolor{}\nCooldown: #color{255,255,0}0.25#dcolor{} Sec\nDPS: #color{255,0,0}804#dcolor{}\nRange:0",Small,5,"Weapon, Turret",6834,Yes,No,No,No,No,,,,,
OmegaShield,Omega Shield,An experimental shield which protects against any attack.,,Pending,"Capacity: #color{0,0,255}50000#dcolor{}\n\nGeneration: #color{0,0,255}600#dcolor{} / s\n",Small,11,Shield,10000,No,No,No,No,No,Yes,,,,
PrologShield,EMP Shield,An experimental shield which generates a wide area EMP burst upon depletion.,Stops the attacker and everyone else.,,"Capacity: #color{0,0,255}5000#dcolor{}\n\nGeneration: #color{0,0,255}600#dcolor{} / s\n",Small,11,Shield,10000,No,No,No,No,No,Yes,,,,
MaterialConsumingRepairSystem,Repair System,Repairs the ship at the cost of iron.,,Pending,,Large,1,Utility,1000,Yes,No,No,No,No,,,,,
ActiveEnergyBooster0,Energy Booster I,Boosts energy generation for a limited time,,Pending,"Generation/Sec: #color{255,255,0}9#dcolor{}\n\nDuration: #color{173,216,230}15#dcolor{} Sec\n\nCooldown: #color{173,216,230}60#dcolor{} Sec",Small,2,Utility,675,No,No,No,No,Yes,,,,,
ActiveEnergyBooster1,Energy Booster II,Boosts energy generation for a limited time,,Pending,"Generation/Sec: #color{255,255,0}18#dcolor{}\n\nDuration: #color{173,216,230}15#dcolor{} Sec\n\nCooldown: #color{173,216,230}60#dcolor{} Sec",Small,5,Utility,2278,No,No,No,No,Yes,,,,,
ActiveEnergyBooster2,Energy Booster III,Boosts energy generation for a limited time,,Pending,"Generation/Sec: #color{255,255,0}27#dcolor{}\n\nDuration: #color{173,216,230}15#dcolor{} Sec\n\nCooldown: #color{173,216,230}60#dcolor{} Sec",Small,8,Utility,7688,No,No,No,No,Yes,,,,,
AoeRingGun1,AOE Ring Gun I,"Launches a firey ring which explodes on impact, dealing damage to everything nearby.",,,"Damage: #color{255,0,0}8#dcolor{}\nEnergy Consumption: #color{255,255,0}270#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nDPS: #color{255,0,0}8#dcolor{}\nRange:0",Small,2,"Weapon, Turret",200,Yes,No,No,No,No,,,,,
AoeRingGun2,AOE Ring Gun II,"Launches a firey ring which explodes on impact, dealing damage to everything nearby.",,,"Damage: #color{255,0,0}16#dcolor{}\nEnergy Consumption: #color{255,255,0}450#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nDPS: #color{255,0,0}16#dcolor{}\nRange:0",Small,4,"Weapon, Turret",200,Yes,No,No,No,No,,,,,
AoeRingGun3,AOE Ring Gun III,"Launches a firey ring which explodes on impact, dealing damage to everything nearby.",,,"Damage: #color{255,0,0}21#dcolor{}\nEnergy Consumption: #color{255,255,0}630#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nDPS: #color{255,0,0}21#dcolor{}\nRange:0",Small,6,"Weapon, Turret",200,Yes,No,No,No,No,,,,,
AoeRingGun4,AOE Ring Gun IV,"Launches a firey ring which explodes on impact, dealing damage to everything nearby.",,,"Damage: #color{255,0,0}22#dcolor{}\nEnergy Consumption: #color{255,255,0}810#dcolor{}\nCooldown: #color{255,255,0}1#dcolor{} Sec\nDPS: #color{255,0,0}22#dcolor{}\nRange:0",Small,8,"Weapon, Turret",200,Yes,No,No,No,No,,,,,
Blaster0,Basic Blaster,Basic blaster.,#hcolor{}Basic items can be crafted with no cost and will be removed from inventory on sorting#dcolor{}.\nRed blasts.,Red,"Damage: #color{255,0,0}17#dcolor{}\nEnergy Consumption: #color{255,255,0}20#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nDPS: #color{255,0,0}50#dcolor{}\nRange:2080",Small,0,"Weapon, Turret",0,No,No,No,No,Yes,,,,,
Blaster1,Blaster I,Rapidly fires energy blasts in a straight line.,Orange projectiles.,Orange,"Damage: #color{255,0,0}41#dcolor{}\nEnergy Consumption: #color{255,255,0}40#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nDPS: #color{255,0,0}123#dcolor{}\nRange:2080",Small,1,"Weapon, Turret",450,No,No,No,No,Yes,,,,,
Blaster2,Blaster II,Rapidly fires energy blasts in a straight line.,Yellow projectiles.,Yellow,"Damage: #color{255,0,0}35#dcolor{}\nEnergy Consumption: #color{255,255,0}60#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nShots per burst: #color{255,0,0}2#dcolor{}\nDPS: #color{255,0,0}209#dcolor{}\nRange:2080",Small,2,"Weapon, Turret",675,No,No,No,No,Yes,,,,,
Blaster3,Blaster III,Rapidly fires energy blasts in a straight line.,Lime green projectiles.,Light Green,"Damage: #color{255,0,0}51#dcolor{}\nEnergy Consumption: #color{255,255,0}80#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nShots per burst: #color{255,0,0}2#dcolor{}\nDPS: #color{255,0,0}303#dcolor{}\nRange:2080",Small,3,"Weapon, Turret",1012,No,No,No,No,Yes,,,,,
Blaster4,Blaster IV,Rapidly fires energy blasts in a straight line.,Green projectiles.,Green,"Damage: #color{255,0,0}45#dcolor{}\nEnergy Consumption: #color{255,255,0}100#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nShots per burst: #color{255,0,0}3#dcolor{}\nDPS: #color{255,0,0}405#dcolor{}\nRange:2080",Small,4,"Weapon, Turret",1518,No,No,No,No,Yes,,,,,
Blaster5,Blaster V,Rapidly fires energy blasts in a straight line.,Teal projectiles.,Teal,"Damage: #color{255,0,0}57#dcolor{}\nEnergy Consumption: #color{255,255,0}120#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nShots per burst: #color{255,0,0}3#dcolor{}\nDPS: #color{255,0,0}514#dcolor{}\nRange:2080",Small,5,"Weapon, Turret",2278,No,No,No,No,Yes,,,,,
Blaster6,Blaster VI,Rapidly fires energy blasts in a straight line.,Sky Blue projectiles.,Light Blue,"Damage: #color{255,0,0}52#dcolor{}\nEnergy Consumption: #color{255,255,0}140#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nShots per burst: #color{255,0,0}4#dcolor{}\nDPS: #color{255,0,0}627#dcolor{}\nRange:2080",Small,6,"Weapon, Turret",3417,No,No,No,No,Yes,,,,,
Blaster7,Blaster VII,Rapidly fires energy blasts in a straight line.,Blue projectiles.,Blue,"Damage: #color{255,0,0}62#dcolor{}\nEnergy Consumption: #color{255,255,0}160#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nShots per burst: #color{255,0,0}4#dcolor{}\nDPS: #color{255,0,0}746#dcolor{}\nRange:2080",Small,7,"Weapon, Turret",5125,No,No,No,No,Yes,,,,,
Blaster8,Blaster VIII,Rapidly fires energy blasts in a straight line.,Navy Blue projectiles.,Dark Blue,"Damage: #color{255,0,0}72#dcolor{}\nEnergy Consumption: #color{255,255,0}180#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nShots per burst: #color{255,0,0}4#dcolor{}\nDPS: #color{255,0,0}870#dcolor{}\nRange:2080",Small,8,"Weapon, Turret",7688,No,No,No,No,Yes,,,,,
Blaster9,Blaster IX,Rapidly fires energy blasts in a straight line.,Purple projectiles.,Purple,"Damage: #color{255,0,0}83#dcolor{}\nEnergy Consumption: #color{255,255,0}200#dcolor{}\nCooldown: #color{255,255,0}0.33#dcolor{} Sec\nShots per burst: #color{255,0,0}4#dcolor{}\nDPS: #color{255,0,0}998#dcolor{}\nRange:2080",Small,9,"Weapon, Turret",11533,No,No,No,No,Yes,,,,,
Berserk1,Berserk I,A Blaster I overcharged to fire at an every higher rate.,Needs more fuel for the fire.,,"Damage: #color{255,0,0}41#dcolor{}\nEnergy Consumption: #color{255,255,0}120#dcolor{}\nCooldown: #color{255,255,0}0.17#dcolor{} Sec\nDPS: #color{255,0,0}246#dcolor{}\nRange:2080",Small,1,"Weapon, Turret",675,No,No,No,No,Yes,,,,,
Berserk2,Berserk IV,A Blaster IV overcharged to fire at an every higher rate.,Needs more fuel for the fire.,,"Damage: #color{255,0,0}45#dcolor{}\nEnergy Consumption: #color{255,255,0}300#dcolor{}\nCooldown: #color{255,255,0}0.17#dcolor{} Sec\nShots per burst: #color{255,0,0}3#dcolor{}\nDPS: #color{255,0,0}810#dcolor{}\nRange:2080",Small,4,"Weapon, Turret",2277,No,No,No,No,Yes,,,,,
Berserk3,Berserk VII,A Blaster VII overcharged to fire at an every higher rate.,Needs more fuel for the fire.,,"Damage: #color{255,0,0}62#dcolor{}\nEnergy Consumption: #color{255,255,0}480#dcolor{}\nCooldown: #color{255,255,0}0.17#dcolor{} Sec\nShots per burst: #color{255,0,0}4#dcolor{}\nDPS: #color{255,0,0}1493#dcolor{}\nRange:2080",Small,7,"Weapon, Turret",7687,No,No,No,No,Yes,,,,,
