Id,Text,Image*,Sound*,NextText*,IsBlocking*,IsSkippable*,Params*,Comments*
# Prologue Intro,,,,,,,,
proIntro1_REMOVED,We are the void.,void,,,TRUE,TRUE,,
proIntro2_REMOVED,We know more than any being which ever existed.,void,,,TRUE,TRUE,,
proIntro1,We have been waiting for you.,void,,proIntro2,TRUE,TRUE,,
proIntro2,It is time to begin.,void,,,TRUE,TRUE,,
,,,,,,,,
# Prologue Main Guns,,,,,,,,
proShotMainStart1,Press #action{Action1} for main guns,,,,FALSE,FALSE,,
,,,,,,,,
# Prologue Secondary Guns,,,,,,,,
proShotSecStart1,Press #action{Action2} for secondary weapon\nZoom in/out with #hcolor{}Mouse Wheel#dcolor{},,,,FALSE,FALSE,,
,,,,,,,,
# Prologue Move,,,,,,,,
proMoveStart1,"Press #action{Up}, #action{Left}, #action{Down} and #action{Right} to move\nFollow the arrow #image{255,255,0,missionTarget}",,,,FALSE,FALSE,,
,,,,,,,,
# Prologue Shoot Enemy,,,,,,,,
proShot,Destroy The Enemy,,,,,,,
proShotStart1,Destroy the enemy!,void,,,TRUE,TRUE,,
proShotEnd1,One down  a million more to go.,void,,,TRUE,TRUE,,
,,,,,,,,
# Prologue Destroy Command Station Mission,,,,,,,,
proDestroyCommand,Destroy the Command Station,void,,,TRUE,TRUE,,
proDestroyCommandInfo,Destroying the Command Station will disable all enemies in the sector.,void,,,TRUE,TRUE,,
proDestroyCommandStart1,"One down, billions more to go.",void,,proDestroyCommandStart2,TRUE,TRUE,,
proDestroyCommandStart2,"Destroying the #color{255,0,0}Command Station#dcolor{} will disable all enemies in this sector.",void,,,TRUE,TRUE,,
proDestroyCommandEnd1,Good job\nUse #action{Action4} for a speed boost,void,,,TRUE,,,
,,,,,,,,
# Prologue Meet Kemron,,,,,,,,
proMeetKemronEnd1,This is Captain Kemron from the Federation starship Vortex.\nYou are trespassing in a private Federation sector.\nIdentify yourself!,Kemron,,proMeetKemronA:proMeetKemronB,TRUE,FALSE,,
proMeetKemronA,"Prepare for extermination! #color{255,0,0}[Attack]#dcolor{}",,,proMeetKemronA1,,,,
proMeetKemronB,My navigation program is experiencing problems.,,,proMeetKemronA2,,,,
proMeetKemronC_REMOVED,I am a servant of the Void.\nStand aside or face annihilation. ,,,proMeetKemronA3,,,,
proMeetKemronA1,All hands - battle stations!,Kemron,,,TRUE,,,
proMeetKemronA2,I do not care. Turn around and leave this sector immediately!,Kemron,,,TRUE,,,
proMeetKemronA3_REMOVED,All hands - battle stations!\nServant of the Void you are surrounded and outnumbered.\nLower your shields and prepare to be boarded.\nThis is your last warning.,Kemron,,,TRUE,,,
,,,,,,,,
# Prologue Attacking Station,,,,,,,,
proAttackZoneEnd1,"Defend the station, destroy the intruder!",Kemron,,,TRUE,,,
,,,,,,,,
# Prologue Go To Sun,,,,,,,,
proGoToSunStart1,Objective completed. You destroyed the command station.,void,,proGoToSunStart2,TRUE,,,
proGoToSunStart2,It's time for the next phase.,void,,proGoToSunStart3,TRUE,,,
proGoToSunStart3,Get closer to the sun.,void,,,TRUE,,,
,,,,,,,,
# Prologue Inventory Equipment Devices,,,,,,,,
proEquipDeviceStart1,"Open your inventory (#action{Inventory}), equip #itemname{StarDestroyerItem}#itemicon{StarDestroyerItem}",,,,TRUE,FALSE,,
,,,,,,,,
# Prologue Destroy The Sun,,,,,,,,
proDestroySunStart1,Star Destroyer charge complete. Annihilate Sun.,void,DestroySunAI,,TRUE,,,
proDestroySunStart2,Aim at the sun and press #action{Action2} to fire!,,,,FALSE,FALSE,,
,,,,,,,,
# Prologue End Prologue,,,,,,,,
proEnd,You destroyed the sun. The resulting Supernova ripped the fabric of spacetime.\nYou were thrown to the edge of the galaxy. Your adventure begins!,,,,,,,
,,,,,,,,
# Prologue Evasion,,,,,,,,Not Implemented
proEvadeStart1_REMOVED,"Press #action{Left}, #action{Right} and #action{Down} ",,,,FALSE,FALSE,,
