Id,Name*,Description,Quality,Size*,Texture,Price,Sell Ratio,Color*,Max Stack*
MatA1,Iron,,1,,Iron,10,0.25,,
MatA2,Copper,,2,,Copper,15,0.25,,
MatA3,Silver,,3,,Silver,22,0.25,,
MatA4,Gold,,4,,Gold,33,0.25,,
MatA5,Platinum,,5,,Platinum,50,0.25,,
MatA6,Titanium,,6,,Titanium,75,0.25,,
MatB1,Carbon,,1,,Carbon,20,0.25,,
MatB2,Silicon,,2,,Silicon,30,0.25,,
MatB3,Galium,,3,,Galium,45,0.25,,
MatB4,Arsenic,,4,,Arsenid,67,0.25,,
MatB5,Neodymium,,5,,Neodymium,100,0.25,,
MatB6,Selenium,,6,,Selenium,150,0.25,,
MatC1,Ruby,,1,,Ruby,10,0.25,,
MatC2,Emerald,,2,,Emerald,15,0.25,,
MatC3,Sapphire,,3,,Sapphire,22,0.25,,
MatC4,Topaz,,4,,Topaz,33,0.25,,
MatC5,Amethyst,,5,,Amethyst,50,0.25,,
MatC6,Diamond,,6,,Diamond,75,0.25,,
