Id,Text,Image*,Sound*,NextText*,IsBlocking*,IsSkippable*,Params*,Blackbaord Need*,Add Blackbaord*,Activity*,ActivityParams*,Comments*
Inhib0,Inhib0A,VoidShips0,,,,,,,,,,
VoidShips0,VoidHeal1,1,,,,,,,,,,
Inhib1,"Inhib1A,Inhib1B,Inhib1C",,,,,,,,,,,
VoidShips1,"VoidHeal1,VoidLaserShip1,VoidLeechShip1,VoidShip1A",2,,,,,,,,,,
Inhib2,"Inhib2A,Inhib2B",,,,,,,,,,,
VoidShips2,"VoidHeal1,VoidShip2A,VoidShip2B,VoidLeechShip1,VoidShip1A",2,,,,,,,,,,
Inhib3,"Inhib3A,Inhib3B",,,,,,,,,,,
VoidShips3,"VoidHeal1,VoidShip2A,VoidShip2B,VoidLeechShip1,VoidShip1A",3,,,,,,,,,,
Inhib4,"Inhib4A,Inhib4B",,,,,,,,,,,
VoidShips4,"VoidHeal1,VoidLaserShip1,VoidLeechShip1,VoidShip1A",5,,,,,,,,,,
Inhib5,"Inhib5A,Inhib5B",,,,,,,,,,,
VoidShips5,"VoidHeal1,VoidLaserShip1,VoidLeechShip1,VoidShip2A,VoidShip2B",6,,,,,,,,,,
Inhib6,"Inhib6A,Inhib6B,Inhib6C",,,,,,,,,,,
VoidShips6,"VoidHeal1,VoidLaserShip1,VoidLeechShip1,VoidShip1A",6,,,,,,,,,,
Inhib7,"Inhib7A,Inhib7A_Gen",,,,,,,,,,,
VoidShips7,"VoidHeal1,VoidShip2A,VoidShip2B,VoidLeechShip1,VoidShip1A",6,,,,,,,,,,
Inhib8,"Inhib7A_Gen,Inhib5A_Gen",,,,,,,,,,,
VoidShips8,"VoidHeal1_Gen,VoidLaserShip1_Gen,VoidLeechShip1_Gen,VoidShip1A_Gen,VoidShip2A_Gen,VoidShip2B,_Gen",6,,,,,,,,,,
Inhib9,"Inhib7A_Gen,Inhib5A_Gen",,,,,,,,,,,
VoidShips9,"VoidHeal1_Gen,VoidLaserShip1_Gen,VoidLeechShip1_Gen,VoidShip1A_Gen,VoidHelper1",6,,,,,,,,,,
Inhib10,"Inhib7A_Gen,Inhib5A_Gen",,,,,,,,,,,
VoidShips10,"VoidHeal1_Gen,VoidLaserShip1_Gen,VoidLeechShip1_Gen,VoidShip1A_Gen,VoidShip2A_Gen,VoidShip2B,_Gen",6,,,,,,,,,,
