Id,Text,Image*,Sound*,NextText*,IsBlocking*,IsSkippable*,Params*,Comments*
CraftingStationType.Basic,On Ship,SmallShip1,,,,,,
CraftingStationType.CraftingStation,Crafting Station,Crafting,,,,,,
CraftingStationType.AdvancedCraftingStation,Advanced Crafting Station,AdvCrafting,,,,,,
CraftingStationType.Forge,Forge,Forge,,,,,,
CraftingStationType.AdvancedForge,Advanced Forge,Forge,,,,,,
CraftingStationType.Meteor,Meteor,SapphireMine,,,,,,
CraftingStationType.Sun,Sun,sunbackground,,,,,,
CraftingStationType.Armory,Armory,Armory,,,,,,
CraftingStationType.AdvancedArmory,Advanced Armory,Armory,,,,,,
CraftingStationType.Mothership,Mothership,largebase1,,,,,,
CraftingStationType.Vanity,Vanity,Forge,,,,,,
CraftingStationType.Mining,Mining,MiningStation,,,,,,
CraftingStationType.Uncraftable,Uncraftable,SmallShip1,,,,,,
CraftingStationType.MissileAmmo,Missile Ammo,rocketlauncher,,,,,,
CraftingStationType.MineAmmo,Mine Ammo,nuke,,,,,,
CraftingStationType.BoomerangAmmo,Boomerang Ammo,BoomerangGun,,,,,,
CraftingStationType.Rotating,Rotating Ship,relIcon,,,,,,
CraftingStationType.ResourceMine,Resource Mine,SapphireMine,,,,,,
CraftingStationType.DemonAlter,Vile Alter,demonalter,,,,,,
CraftingStationType.ImbuingStation,Imbuing Station,ImbuingStation,,,,,,
CraftingStationType.BlackHole,Black Hole,BlackHole,,,,,,
CraftingStationType.Nebula,Nebula,nebula,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
NodeType.RedSun,Solar System,Sun2,,,,,,
NodeType.BinaryStar,Binary System,binarystar,,,,,,
NodeType.WhiteDwarf,White Dwarf,Vile,,,,,,
NodeType.AsteroidField,Asteroid Field,asteroidfield,,,,,,
NodeType.Nebula,Nebula,nebula,,,,,,
NodeType.Vile,Corrupted Sector,green_nebula,,,,,,
NodeType.BlueGiant,BlueGiant,void2,,,,,,
,,,,,,,,
ControlSignals.Action1,Action 1,,,,,,,
ControlSignals.Action2,Action 2,,,,,,,
ControlSignals.Action3,Action 3,,,,,,,
ControlSignals.Action4,Action 4,,,,,,,
ControlSignals.Up,Up,,,,,,,
ControlSignals.Down,Down,,,,,,,
ControlSignals.Left,Left,,,,,,,
ControlSignals.Right,Right,,,,,,,
ControlSignals.QuickUse1,Hotbar 1,,,,,,,
ControlSignals.QuickUse2,Hotbar 2,,,,,,,
ControlSignals.QuickUse3,Hotbar 3,,,,,,,
ControlSignals.QuickUse4,Hotbar 4,,,,,,,
ControlSignals.MoveToCursor,Move to cursor,,,,,,,
ControlSignals.Brake,Brake,,,,,,,
PlayerCommand.Use,Use,,,,,,,
PlayerCommand.SwapUp,Swapping Ships,,,,,,,
PlayerCommand.SwapDown,SwapDown,,,,,,,
PlayerCommand.CallHelp,Issue Fleet Command,,,,,,,
PlayerCommand.Inventory,Inventory,,,,,,,
SceneComponentType.EscapeMenu,Help & Settings,,,,,,,
SceneComponentType.MissionLog,Mission Log,,,,,,,
SceneComponentType.Inventory,Inventory,,,,,,,
SceneComponentType.Hangar,Hangar,,,,,,,
SceneComponentType.TacticalMap,Tactical Map,,,,,,,
SceneComponentType.GalaxyMap,Galaxy Map,,,,,,,
SceneComponentType.Crafting,Crafting,,,,,,,
SceneComponentType.FactionInfo,Faction Info,,,,,,,
SceneComponentType.Codex,Codex,,,,,,,
SceneComponentType.Imbue,Imbue,,,,,,,
