Id,Text,Image*,Sound*,NextText*,IsBlocking*,IsSkippable*,Params*,Comments*
# Introduction Quest,,,,,,,,
fnIntroEnd1,Finally you're back! \nBut you don't look like yourself. \nWait. I am scanning.,AI_Helper,StartingNode_1,fnIntroEnd2,TRUE,,,
fnIntroEnd2,"Yes, I was right. \nYour reconstruction didn't go well. \nYou probably don't remember everything, right?",AI_Helper,StartingNode_2,,TRUE,,,
fnIntroEnd3_REMOVED,"But as your loyal AI helper I will share what I know.\nWhenever your ship is destroyed it will reconstruct here, near the mothership.\nYou will lose all your inventory, but at least you'll keep all your equipment.\nYou can also use the mothership cargo hold to store items.",AI_Helper,StartingNode_3,,TRUE,,,
fnIntroAltEnd1,...  reconstruction has finished with errors. Performing system check...,AI_Helper,,,TRUE,,,
,,,,,,,,
,,,,,,,,
# How to Mine Asteroids,,,,,,,,
fnMineAsteroidsActiveInfo,Collect 5  #itemname{MatA1},,,,,,,
fnMineAsteroidsActiveTitle,Mine Asteroids,,,,,,,
fnMineAsteroids,Collect #itemname{MatA1} from asteroids,AI_Helper,,,TRUE,,,
fnMineAsteroidsInfo,"Mine #color{255,255,0}asteroids#dcolor{} for #itemname{MatA1} and #itemname{MatB1} to craft a #itemname{VacuumModulator1}.\nFollow the mission marker #image{255,255,0,GoalArrow}",AI_Helper,,,TRUE,,,
fnMineAsteroidsStart1,"Well, let's get you started with the basics then.",AI_Helper,,fnMineAsteroidsStart2,TRUE,,,
fnMineAsteroidsStart2,"First, we need to craft some equipment.\nMining the nearby #color{255,255,0}asteroids#dcolor{} can provide the materials.\nFollow the mission marker #image{255,255,0,GoalArrow}",AI_Helper,,,TRUE,,,
fnMineAsteroidsEnd1_REMOVED,"Great, we have the materials we need.",AI_Helper,,,TRUE,,,
,,,,,,,,
# Crafting Vacuum Modulator,,,,,,,,Not Implemented
fnCraftVacuum_REMOVED,Craft and equip the #itemname{VacuumModulator1} #itemicon{VacuumModulator1},AI_Helper,,,TRUE,,,
fnCraftVacuumInfo_REMOVED,Press #action{Inventory} to open the Inventory and Crafting menu. Click on #itemicon{VacuumModulator1} to craft it and place it on your ship,AI_Helper,,,TRUE,,,
fnCraftVacuumStart1_REMOVED,We shloud craft a #itemname{VacuumModulator1} #itemicon{VacuumModulator1}\nPress #action{Inventory} to open the Inventory and Crafting menu,AI_Helper,,,TRUE,FALSE,,
fnCraftItemEnd1_REMOVED,The #itemname{VacuumModulator1} #itemicon{VacuumModulator1} will pull items towards your ship.\nIt works automatically as long as it's installed in an item slot.,AI_Helper,,,TRUE,,,
fnCraftItemFail1_REMOVED,I see you don't want to use the item,,,,,,,
,,,,,,,,
# Opening The Mission Log,,,,,,,,Not Implemented
fnOpenMissionLogStart1_REMOVED,"A new mission was added to the #color{255,255,0}Mission Log#dcolor{}. Open it using #action{MissionLog}",help,,,TRUE,FALSE,,
,,,,,,,,
# Go To The Mothership,,,,,,,,Not Implemented
fnGoToMothership_REMOVED,Go back to the mothership,AI_Helper,,,TRUE,,,
fnGoToMothershipInfo_REMOVED,Go back to the mothership,,,,TRUE,,,
fnGoToMothershipStart1_REMOVED,Go back to the mothership,AI_Helper,,,TRUE,,,
,,,,,,,,
# Craft On The Mothership,,,,,,,,Not Implemented
fnCraftOnMothership_REMOVED,Craft a shield,help,,,TRUE,,,
fnCraftOnMothershipInfo_REMOVED,"Place your #color{255,255,0}mouse cursor#dcolor{} over your ship and press #action{Use} to open the inventory.\nCraft the #itemname{Shield1}#itemicon{Shield1} by clicking on it in the crafting menu on the right side.\nOnce crafted place it in the marked slot on your ship.",,,,TRUE,,,
fnCraftOnMothershipStart1_REMOVED,"Place your #color{255,255,0}mouse cursor#dcolor{} over your ship and press #action{Use} to open the inventory.\nCraft the #itemname{Shield1}#itemicon{Shield1} by clicking on it in the crafting menu on the right side.\nOnce crafted place it in the marked slot on your ship.",help,,,TRUE,FALSE,,
,,,,,,,,
# Dock With The Mothership,,,,,,,,Not Implemented
fnDockWithMothership_REMOVED,Transfer materials to mothership,,,,TRUE,,,
fnDockWithMothershipInfo_REMOVED,"Place your #color{255,255,0}mouse cursor#dcolor{} over the mothership #image{largebase1} and press #action{Use} to dock.\nTransfer the #itemname{MatA1} #itemicon{MatA1} to the mothership's cargo hold.",,,,TRUE,,,
fnDockWithMothershipStart1_REMOVED,"Dock with the mothership to transfer the #itemname{MatA1} which will activate its repair system.\nPlace your #color{255,255,0}mouse cursor#dcolor{} over the #color{255,255,0}mothership#dcolor{} #image{largebase1} and press #action{Use} to dock.",help,,,TRUE,FALSE,,
fnDockWithMothershipEnd1_REMOVED,"Material transfer confirmed. As long as it has #itemname{MatA1} to spare,\nthe mothership will use its #itemname{MaterialConsumingRepairSystem} to repair itself over time",AI_Helper,,,TRUE,,,
,,,,,,,,
# Go To The Starport,,,,,,,,
fnGoToStarport,Go to the Starport,,,,TRUE,,,
fnGoToStarportInfo,Get help from the nearby starport to fix our communication system.,,,,TRUE,,,
fnGoToStarportStart1,"Anyway, we have to #color{255,255,0}fix the communication system#dcolor{} to decrypt \na message we got from the Void.",AI_Helper,StartingNode_6a,fnGoToStarportStartA:fnGoToStarportStartB,TRUE,,,
fnGoToStarportStartA,Who is the Void?,,,fnGoToStarportStartA1,TRUE,,,
fnGoToStarportStartB,Let's go!,,,fnGoToStarportStart2,TRUE,,,
fnGoToStarportStartA1,"Who's the Void?! Wow, you really don't remember? It's your boss!",AI_Helper,StartingNode_6b,fnGoToStarportStart2,TRUE,,,
fnGoToStarportStart2,I found the location of a nearby starport. \nI suggest you go there and see if they can fix our communication system.,AI_Helper,StartingNode_7,,TRUE,,,
fnGoToStarportEnd1,"Welcome to the Solar Conflict starport.\nMy name is Laura, how can I help you? ",Laura,Laura1,fnGoToStarportEnd2,TRUE,,,
fnGoToStarportEnd2,I need to repair my communication system.\nCan you assist me?,Player,,fnGoToStarportEnd3,TRUE,,,
fnGoToStarportEnd3,Unfortunately we don't have spare parts for fixing your communication system.\nBut I am sure Gustav will have some. Maybe you can get them from him.,Laura,Laura2,fnGoToStarportEnd4,TRUE,,,
fnGoToStarportEnd4,Assuming you can convince him to deal with you instead of shooting you.\nI'm sending you his coordinates. \nGood Luck! Anything else?,Laura,Laura3,fnGoToStarportEnd5,TRUE,,,
fnGoToStarportEnd5,Maybe later. Thanks Laura!,Player,,,TRUE,TRUE,,
,,,,,,,,
# Go To Gustav Shop,,,,,,,,
fnGoToGustavShop,Meet Gustav,Laura,,,TRUE,,,
fnGoToGustavShopInfo,Gustav and his associates can help you fix your communication system.,Laura,,,TRUE,,,
,,,,,,,,
# Meet Gustav Shop,,,,,,,,
fnMeetGustavShopEnd1,Hello traveler.\nYou look like you could use some upgrades to your ship.,Gustav_Shop,,,TRUE,,,
,,,,,,,,
# Kill Gustav,,,,,,,,
fnKillGustav,Convince Gustav the Pirate,Gustav_Shop,,,TRUE,,,
fnKillGustavInfo,Gustav the pirate controls the area. \nConvince him you are worthy.,Gustav_Shop,,,TRUE,,,
