Id,Text,Image*,NextText*,IsBlocking*,IsSkippable*,Params*,Comments*,Sound*,Plot
# Prologue Missions,,,,,,,,,
,,,,,,,,,
# Prologue Introduction,"Welcome, test basic controls",,,,,,"Basic controls. Disable all additional windows, disable F even as you can destroy the Star Destroyer before you use it and crash the game.",,
smProDestroyStationEnd1,"Infiltrator, you have arrived in the Arbitum system.",Void,smProDestroyStationEnd2,TRUE,TRUE,,,,"Restricted Federation system. Lots of experiments taking place in this system, and with the command center."
smProDestroyStationEnd2,"Verify standard controls, then proceed closer to the star.",Void,,TRUE,TRUE,,,,
,,,,,,,,,
# Prologue Primary Fire,Perform primary fire,,,,,,,,
smProPrimaryFireStart1,Press #action{Action1} for primary fire.,,,FALSE,FALSE,,,,
,,,,,,,,,
# Prologue Secondary Fire,Perform secondary fire,,,,,,,,
smProSecondaryFireStart1,Press #action{Action2} for secondary weapon.,,,FALSE,FALSE,,,,
,,,,,,,,,
# Prologue Move,"Moving and zoom, non blocking",,,,,,,,
smMoveStart1,"Press #action{Up}, #action{Left}, #action{Down} and #action{Right} to move.\nZoom in/out with #hcolor{}Mouse Wheel#dcolor{}.\nFollow the arrow #image{255,255,0,missionTarget}.",,,FALSE,FALSE,,,,
,,,,,,,,,
# Prologue Fight First Enemy,"Introduces combat, activations Q and E",,,,,,,,
smProFirstFight,Destroy the enemy,,,,,,,,
smProFirstFightStart1,"This is not a Federation ship, but a pirate vessel.",Void,smProFirstFightStart2,TRUE,TRUE,,,,
smProFirstFightStart2,Destroy it.,Void,smProFirstFightStart3,TRUE,TRUE,,,,
smProFirstFightStart3,Both #action{Action3} and #action{Action4} are your equipment activations.\nPress #action{Action3}.,,,FALSE,TRUE,,,,
smProFirstFightEnd1,Continue to the target.,Void,,,,,,,
,,,,,,,,,
# Prologue Destory Command Station,Introduces Mission Log,,,,,,Enables F1 for mission log,,
smProDestroyCommandStationActiveTitle,Defeat The Arbitum Defense Force,,,,,,,,
smProDestroyCommandStationActiveInfo,Destroy the Command Station,,,,,,,,
smProDestroyCommandStation,Defeat The Arbitum Defense Force,,,,,,,,
smProDestroyCommandStationInfo,"The Arbitum defence force is controlled by the Command Station, which doubles as a research facility. New technology is being worked on inside, such as experimental wormhole technology and new defensive measures. The destruction of the station will stop everything in the system.",,,,,,"The defenses of Arbitum consists of various squads of ships positioned around the sun. At one end, a central command station is present with additional squads. All ships that enter the system are examined by security before moving to their business. \nScanning the Command Station reveals several complex energy readings not commonly found in other stations. It is hard to fully determine the nature of it, but these may be defensive countermeasures and fail-safes. There is a good chance destroying this will not only disable communications but disable all ships in the system. The release of this energy mixed with the other countermeasures would potentially stop most ships from functioning in this system for days if they are not outright destroyed. Our ship's shield technology can most certainly guard against these effects, allowing us to their measures to our advantage.",,"Command station has a lot of experiments in particular here. Experiments to disable ships, and influence warp travel. When destroyed, this stuff shuts down the entire system for travel completely. Also leaves behind stuff to stop travel as well. When this combines with the super nova, this creates a portal to the other side of the galaxy. Could be related to the similar experiments to the mothership. Potentially with frequencies and using data from the old Mothership Portal project. Can expand at will."
smProDestroyCommandStationStart1,Next target is the Command Station.\nScans show it is critical to the system's defenses.\nProceed to the station and destroy it.,Void,,TRUE,TRUE,,,,
,,,,,,,,,
# Prologue Open Mission log,,,,,,,,,
smMissionLogStart1,Press #action{MissionLog} to access your mission log.\nHover over the mission for more details.,,,TRUE,FALSE,,,,
,,,,,,,,,
# Prologue Meet Kemron,Introduces choices with different results,,,,,,Need to adjust NPC to attack if you move past them or damage them at all.,,
smProMeetKemronEnd1,"This is the Federation security vessel, Vortex.\nI am Captain Kemron, leader of the Arbitum Security Force.",Kemron,smProMeetKemronEnd2,TRUE,TRUE,,,,This is the brother of Laura. May or may not know he is an AI. May be human and might not know Laura is an AI even. Could be a reoccurring enemy. 
smProMeetKemronEnd2,"We have seen your engagement and destruction of the pirate ship at our border. \nWe thank you for your actions, however you are still trespassing in a restricted Federation sector.\nIdentity yourself and your reason for being here.",Kemron,smProMeetKemronA:smProMeetKemronB,TRUE,TRUE,,,,
smProMeetKemronA,"Prepare to be annihilated. #color{255,0,0}[Attack]#dcolor{}",Player,smProMeetKemronA1,TRUE,TRUE,AddToBlackbaordOnSelect:KemAttack,,,
smProMeetKemronB,I am non-hostile and seek to establish friendly relations. This ship is non-hostile. Do not attack. I come in peace.,Player,smProMeetKemronB1,TRUE,TRUE,,,,Star Control 2 reference with the Sylandro Probe. Also related to the Void being a probe at the start. 
smProMeetKemronA1,"All hands, battle stations! Protect the station and destroy the intruder!",Kemron,,TRUE,TRUE,,,,
smProMeetKemronB1,"This is no place for this, and you have demonstrated to be a combat vessel.\nWithdraw from this sector immediately!",Kemron,,TRUE,TRUE,,,,
,,,,,,,,,
# Prologue Attacking Station,Damaging any ship provokes immediate hostile from everyone. Moving north past them triggers hostility too.,,,,,,,,
smProProvokeKemronEnd1,"All forces, destroy that ship!\nDefend the station!",Kemron,,TRUE,TRUE,,,,
,,,,,,,,,
# Prologue Go To Star,,,,,,,,,
smProGoToTheStarActiveTitle,Wish Upon A Star,,,,,,,,
smProGoToTheStarActiveInfo,Get close to Arbitum.,,,,,,,,
smProGoToTheStar,Wish Upon A Star,,,,,,,,
smProGoToTheStarInfo,"The Arbitum star is in Federation controlled space, with a few populated worlds. It is an established system with multiple lines of trade to other systems in the area. Security within the system is higher than other Federation space. The populated worlds focus on research and development for their war against the Empire. ",,,,,,,,
smProGoToTheStarStart1,"With this station's destruction, all other ships in the system are disabled.",Void,smProGoToTheStarStart2,TRUE,TRUE,,,,
smProGoToTheStarStart2,Your shields have protected you from the byproduct of the station's destruction.,Void,smProGoToTheStarStart3,TRUE,TRUE,,,,
smProGoToTheStarStart3,Proceed closer to Arbitum.,Void,,TRUE,TRUE,,,,
,,,,,,,,,
# Prologue Inventory Equipment,Introduces Inventory equipment,,,,,,,,
smProInventoryEquipmentStart1,Access your inventory (#action{Inventory}) and equip the prototype.,Void,,TRUE,FALSE,,,,
,,,,,,,,,
# Prologue Destroy The Sun,Final prologue mission. Implies the player is sacrificed.,,,,,,,,
smProDestroyStarActiveTitle,"Star Light, Star Bright",,,,,,,,
smProDestroyStarActiveInfo,Fire the Star Destroyer at Arbitum,,,,,,,,
smProDestroyStar,"Star Light, Star Bright",,,,,,,,
smProDestroyStarInfo,"The Star Destroyer beam upon contact with a star will immediately begin the destabilizing process. The result is a supernova, ripping off the top layers of the star before the rest is torn apart. This category of technology has not been seen in use by either the Federation or Empire, although after this event they will all know it exists.",,,,,,,,
smProDestroyStarStart1,Execute the final phase of your mission by firing the #itemname{StarDestroyerItem}#itemicon{StarDestroyerItem} at Arbitum to destroy the system.,Void,smProDestroyStarStart2,TRUE,TRUE,,QUALITY,,
smProDestroyStarStart2,This act will throw humanity into chaos.,Void,smProDestroyStarStart3,TRUE,TRUE,,,,
smProDestroyStarStart3,Aim at the star and press #action{Action2} to fire.,,,FALSE,FALSE,,,,
smProDestroyStarEnd1,Your sacrifice will be felt by the entire galaxy.,Void,,TRUE,TRUE,,,,
,,,,,,,,,
# Prologue End Prologue,,,,,,,,,
smProEnd,"The explosion of the star engulfs the area, hitting your ship.\nAs it mixes with the energy released by the station's destruction, a wormhole is formed.\nYou and everything nearby gets sucked in, and are sent across the galaxy.\nYour systems sustain crippling damage before everything goes dark.",,,,,,,,
,,,,,,,,,
# First System Missions,"Keep F1 and F2 enabled, rest disabled.",,,,,,,,
,,,,,,,,,
# Main Story Intro,"Introduces what happened after the prologue, and crafting of basic engines",,,,,,Ship has basic engine blueprint. No equipment. Big hull damage. Dying means game over.,,
smTutorialIntroActiveTitle,Memory Wipe,,,,,,Skipped quest but text flashes briefly before next quest.,,
smTutorialIntroActiveInfo,"Follow the mission arrow #image{255,255,0,missionTarget}.",,,,,,Skipped quest but text flashes briefly before next quest.,,
smTutorialIntro,Memory Wipe,,,,,,Skipped quest but text flashes briefly before next quest.,,
smTutorialIntroInfo,Backup systems and engines have come online.,,,,,,,,
smTutorialIntroStart1_REMOVED,...,,smTutorialIntroStart2,TRUE,TRUE,,IGNORE,,
smTutorialIntroStart2_REMOVED,Backup systems online. Ship appears to have sustained heavy damage from a prior engagement.,,smTutorialIntroStart3,TRUE,TRUE,,IGNORE,,
smTutorialIntroStart3_REMOVED,Most sensors are offline. Errors appear for all historical logs and memory.,,smTutorialIntroStart4,TRUE,TRUE,,IGNORE,,
smTutorialIntroStart4_REMOVED,"Equipment attached to core slots are destroyed and unsalvageable, leaking energy from their fixture. \nYou detach those slots still occupied from the hull, or what was left of it for safety.",,smTutorialIntroStart5,TRUE,TRUE,,IGNORE,,
smTutorialIntroStart5_REMOVED,Emergency procedures executed to replace empty equipment. Only blueprint recoverable are basic engines.,,smTutorialIntroStart6,TRUE,TRUE,,IGNORE,,
smTutorialIntroStart6_REMOVED,Craft 4 basic engines and install them.,,,TRUE,FALSE,,IGNORE,,
smTutorialIntroEnd1,Backup systems initialized. Corruption detected in recovery.,Player,smTutorialIntroEnd2,TRUE,TRUE,,,,
smTutorialIntroEnd2,Assessing situation... ,Player,smTutorialIntroEnd3,TRUE,TRUE,,,,
smTutorialIntroEnd3,"I'm smoking and on fire in space, so pretty bad.",Player,smTutorialIntroEnd4,TRUE,TRUE,,,,
smTutorialIntroEnd4,I need to report this to... I have no idea.,Player,smTutorialIntroEnd5,TRUE,TRUE,,,,
smTutorialIntroEnd5,"I don't even know anyone, which is required to report an issue.",Player,smTutorialIntroEnd6,TRUE,TRUE,,,,
